id;fecha_trending;titulo;canal;categoria;visitas;likes;dislikes
V5jaUWCdNxc;05/12/2017;Final Internacional 2017 - Red Bull Batalla de los Gallos;Red Bull Batalla De Los Gallos;Music;2169834;62939;12220
RX8j40qQKJA;05/12/2017;TOP: LOS 7 TUTORIALES MÁS ABOMINABLES DE LA DEEP WEB;DrossRotzank;Entertainment;2097487;130737;3706
ORwYwuTagcM;05/12/2017;Jamón BARATO vs MUY CARO ¿Merece LA PENA?;ExpCaseros;Howto & Style;457702;23711;613
dUAZMi3gT9o;05/12/2017;7 Trucos que Haran que Ahorres Dinero (Life Hacks);Drawblogs;Entertainment;1017224;109110;4063
F4Dx40wwRKs;05/12/2017;El Chapo Segunda Temporada 2 Capitulo 11 Y 12 Completo HD (12/3/2017);E;People & Blogs;131686;835;69
lrm47tnXbJk;05/12/2017;Alemania intentó humillar a México, pero el mundo nos defendió;Badabun;Sports;287918;18942;1319
sCOGLw0w9Ag;05/12/2017;7 MENTIRAS DE INTERNET #3;Tri-line;Entertainment;1078681;69860;825
bCi6TzRoAHc;05/12/2017;Get Ready for YouTube Rewind 2017 | #RewindisComing;YouTube Spotlight;Entertainment;144795;10948;1063
hMT4nS5TauA;05/12/2017;Abriendo 3 Cajas Misteriosas de $6 de Ebay | Caja Sorpresa;Curiosidades con Mike;Science & Technology;190813;7553;495
O-_2q7NzpGM;05/12/2017;Franco Escamilla.- Show ¡Y ya! Primera parte;Franco Escamilla;Comedy;518321;23689;331
UZ5BJHQmBNw;05/12/2017;La Resolana con el Capi | Programa 3 diciembre 2017;La Resolana;People & Blogs;161651;3231;129
PaKSkzOiKZI;05/12/2017;Entrevista completa a Gabriel Soto por Gustavo Adolfo Infante sobre su divorcio | De Primera Mano;Imagen Entretenimiento;Entertainment;57215;556;57
FboQTtYR8Ks;05/12/2017;Monterrey vs Monarcas Morelia 4-0 Goles Resumen HD SemiFinal Vuelta Liga MX 2017;Videos Futbol;Sports;168115;344;65
Unw_45QBxvs;05/12/2017;Virtual Self - Particle Arts;Proximity;Entertainment;109297;4108;94
6uKzcd_Jltk;05/12/2017;Dragon Ball Super Capitulo 119 (adelanto extendido) | ¡¡¿Vegeta es ridículamente eliminado?!!;The WarrioR;Entertainment;1609491;9506;2733
266EI7hdjFs;05/12/2017;Jurassic World: Fallen Kingdom - Trailer Thursday (Run) (HD);Universal Pictures;Entertainment;2693367;32788;3051
NNYK3aUTXao;05/12/2017;Geraldine Bazán reacciona así cuando le preguntan por Irina Baeva;Despierta América;Entertainment;170524;523;65
5F0s9qASe4M;05/12/2017;Monterrey vs Monarcas 4-0 Resumen y Goles l Highlights & Goals (03/12/2017);MexGol TV;Sports;62957;190;25
a22kMi9AL5k;05/12/2017;Tigres vs America 3-0 Goles y Resumen Semifinal (vuelta) Liga MX 2017;Brothers sports;Sports;776664;2848;576
e77J4g0LMOk;05/12/2017;Little Mix bring the Power & CNCO to The X Factor Final! | Final | The X Factor 2017;The X Factor UK;Entertainment;2121775;99784;2030
Egus4-LwmNM;05/12/2017;Monterrey vs Monarcas Morelia 4-0 (5-0) Resumen y Goles SEMIFINAL VUELTA Apertura 2017 HD;AF FOOTBALL;Sports;672454;1617;267
l58QQBVUY-Q;05/12/2017;Caer en Tentación | Avance 04 de diciembre | Hoy - Televisa;Televisa Telenovelas;Entertainment;38792;342;34
GMXMtBGGyyE;05/12/2017;Los GATOS nos SIGUEN | La NIÑA GATO Parte 3 / Buscadores de Leyendas;The Youman Show - EL CANAL DE LAS LOCURAS;Entertainment;113152;16585;176
WxD_aZYRf8M;05/12/2017;Elimina por completo toda la hinchazón de tu barriga en solo 10 minutos / Bebe esto;Quemando Y Gozando con Ingrid Macher;Howto & Style;33185;1009;19
UR2SaxWYgy8;05/12/2017;Palomitas Flow - La Navidad (Official Video);Palomitas Flow;People & Blogs;60877;13152;249
R7DHpUrP3kg;05/12/2017;Monterrey vs Tigres la Gran Final, Ruso Brailovsky Dolido por Fracaso de America - La Ultima Palabra;Los Amos del Periodismo Deportivo;Sports;118956;736;57
MYDS9OivcIE;05/12/2017;Cuando no estás conmigo - Camilo Séptimo (Audio oficial);CAMILO SÉPTIMO;Music;22492;3492;14
FRgj7mxgnZg;05/12/2017;SE CUMPLIO LA PREDICCION DE MHONIVIDENTE  TENEMOS FINAL REGIA;CanalOficial Mhonividente;Film & Animation;43999;223;200
4zSsKdRkl8w;05/12/2017;Último Momento YA SE ARMÓ Final Regia Monterrey Hace Pedazos a Morelia 4-0, Tigres vs Monterrey 2017;Estadio Videos Play;Sports;66758;208;34
YRAD516Qe4k;05/12/2017;Espinoza Paz - Simple y Práctico ( Video Oficial );Espinoza PazTV;Music;59496;3014;33
wFX-dknVqnQ;05/12/2017;Aurora en la filmacion parte 2;La Fea Mas Bella;People & Blogs;18049;208;14
fykyOU1rW4Q;05/12/2017;10 BROMAS de NAVIDAD Para TROLLEAR a tu FAMILIA y AMIGOS ?????? | Mariale;Mariale;Entertainment;1225629;96805;3474
X-X7ZqFbCy0;05/12/2017;NOTICIAS DE HOY 5 DE DICIEMBRE 2017, NOTICIAS 5 DE DICIEMBRE 2017;Las Ultimas de HOY;People & Blogs;115551;871;114
O0KO_-1ELzo;05/12/2017;¡Tómala! Mariano no juega el Sin Palabras | Venga la Alegría;Venga La Alegría;Entertainment;36528;306;180
#NAME?;05/12/2017;All Sports Golf Battle 2 | Dude Perfect;Dude Perfect;Sports;3687609;175563;2509
rU8E4x_ux6Y;05/12/2017;Exatlón México | Programa 35;Exatlón;Entertainment;648823;4551;585
Mvr4G7vYPMc;05/12/2017;Programa Completo 4 Diciembre 2017;Ðis??r?ron, M?nigüis, Ðis??r?ron;People & Blogs;18909;173;35
